,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Cobs Bread,Cinnamon Log (1 piece),230,2,0,230,46,11
,,Cobs Bread,Traditional Scone,220,8,0.1,590,32,4
,,Cobs Bread,Turkish Roll,220,4,0,430,40,2
,,Cobs Bread,Traditional Hot Cross Bun,220,2,0,150,41,13
,,Cobs Bread,Fruit Bun,210,2,0,270,39,13
,,Cobs Bread,Blueberry Teatime (1 piece),210,2,0,240,39,15
,,Cobs Bread,Fit2Go Bar - Fruit and Nut,200,10,0,130,23,8
,,Cobs Bread,Whole Wheat Pizza Roll,200,4,0,620,31,4
,,Cobs Bread,Cinnamon Loaf (2 slices),200,4,0,300,34,8
,,Cobs Bread,Raspberry Custard Danish,200,4,0,300,37,10
,,Cobs Bread,White Hot Dog Roll,200,3,0,270,37,4
,,Cobs Bread,Light Rye Loaf (2 slices),200,2,0,400,39,1
,,Cobs Bread,CHIA White Loaf (2 slices),200,2,0,370,36,1
,,Cobs Bread,Country Grain Block Loaf (2 slices),190,4,0,379,30,1
,,Cobs Bread,CHIA Whole Wheat Loaf (2 slices),190,4,0,360,32,3
,,Cobs Bread,Lekkerbrot Loaf (2 slices),180,4,0,350,30,0
,,Cobs Bread,CHIA Flax Loaf (2 slices),180,4,0,310,31,3
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Cultures,Meat Pie,650,40,8,450,35,3
,,Cultures,Quiche 3 Cheese,570,35,7,960,42,7
,,Cultures,Quiche Provincale,520,36,8,890,33,4
,,Cultures,Quiche Lorraine,500,31,6,1230,31,1
,,Cultures,Moka,480,2.5,0,260,92,28
,,Cultures,Egg Croissant & Coffee,470,28,0,900,36,1
,,Cultures,Spinach Quiche,470,23,5,960,38,4
,,Cultures,Healthy Club – Tofu,440,22,0,450,51,8
,,Cultures,Wrap – Tuna,430,17,0,700,55,1
,,Cultures,Bean,410,23,0,970,43,2
,,Cultures,Chicken pie,400,20,2.5,930,20,8
,,Cultures,Egg Bagel & Coffee,390,13,0,780,47,1
,,Cultures,Wrap – Crab,380,8,0,490,59,0
,,Cultures,Healthy Club – Egg,360,15,0,330,42,9
,,Cultures,Bagel & Coffee,360,13,0,570,47,1
,,Cultures,Healthy Club – Tuna,350,15,,290,44,9
,,Cultures,Wrap – Ham,350,8,0,790,52,1
,,Cultures,Banana,340,1,0,200,69,31
,,Cultures,Healthy Club – Chicken,330,11,0,480,42,9
,,Cultures,Muffin & Coffee,330,9,0,280,55,27
,,Cultures,Wrap – Turkey,320,6,0,780,39,0
,,Cultures,Mango,320,1,0,210,64,33
,,Cultures,Blueberry,310,1.5,0,200,62,29
,,Cultures,Mixed Fruit,310,1,0,210,63,30
,,Cultures,Pineapple,310,1,0,200,63,33
,,Cultures,Panini – Tuna,300,11,0,660,39,1
,,Cultures,Healthy Club – Crab,300,5,,85,49,9
,,Cultures,Strawberry,290,1,0,240,60,29
,,Cultures,Egg English Muffin & Coffee,280,12,0,570,26,1
,,Cultures,Wrap - Grilled Chicken,280,5,0,450,40,1
,Restaurant,Meal Name,Calories,Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g)
,,Dairy Queen,Turtle Pecan Cluster Blizzard - Large,1510,79,1,690,185,165
,,Dairy Queen,Georgia Mud Fudge Blizzard - Large,1420,79,1,970,161,123
,,Dairy Queen,Chocolate Xtreme Blizzard - Large,1390,64,1,870,186,146
,,Dairy Queen,French Silk Pie Blizzard - Large,1340,61,1,650,180,135
,,Dairy Queen,Midnight Truffle Blizzard - Large,1330,64,1,440,175,145
,,Dairy Queen,Cookie Dough Blizzard - Large,1280,50,1.5,1290,195,145
,,Dairy Queen,Double Fudge Cookie Dough Blizzard - Large,1260,53,1.5,720,184,139
,,Dairy Queen,Poutine - Basket Order,1240,66,2.5,2760,121,1
,,Dairy Queen,Cappuccino Skor Blizzard - Large,1240,51,1.5,680,177,159
,,Dairy Queen,Choco Cherry Love Blizzard - Large,1230,51,1,350,175,152
,,Dairy Queen,Chocolate Chip Blizzard - Large,1220,70,1,340,134,114
,,Dairy Queen,Shake, Hot Fudge - Large,1200,41,1.5,600,181,151
,,Dairy Queen,Shake, Hot Caramel - Large,1190,29,1,660,203,149
,,Dairy Queen,Raspberry Truffle Blizzard - Large,1160,43,1,350,183,153
,,Dairy Queen,Skor Blizzard - Large,1150,50,1.5,630,158,142
,,Dairy Queen,OREO CheeseQuake Blizzard - Large,1150,48,1,720,156,117
,,Dairy Queen,OREO Cookie Jar Blizzard - Large,1140,44,1.5,700,175,131
,,Dairy Queen,Smarties Chocolate Candy Blizzard - Large,1130,32,1,360,189,168
,,Dairy Queen,Mocha Chip Blizzard - Large,1110,50,1,330,151,130
,,Dairy Queen,Shake, Chocolate - Large,1110,27,1,460,192,171
,,Dairy Queen,Chicken Quesadilla Basket,1100,79,1.5,2700,67,7
,,Dairy Queen,Reese Peanut Butter Cups Blizzard - Large,1100,46,1,630,151,132
,,Dairy Queen,Banana Cream Pie Blizzard - Large,1080,37,1,760,170,123
,,Dairy Queen,Crispy Crunch Blizzard - Large,1070,39,1,500,160,134
,,Dairy Queen,Shake, Raspberry - Large,1060,26,1,450,180,156
